FAILURE_TYPE,POTENTIAL_PRICE,STATUS,DAYS_TO_POTENTIAL
2,4234.0,3,436.0
1,4234.0,2,95.0
2,7234.0,2,372.0
0,8053.0,0,422.0
1,735.0,1,126.0
3,4971.0,2,288.0
1,3397.0,3,248.0
2,5585.0,0,277.0
3,9033.0,3,203.0
2,3023.0,3,277.0
3,6031.0,0,249.0
2,8122.0,0,341.0
2,2485.0,1,426.0
1,970.0,1,347.0
3,8449.0,3,263.0
1,2774.0,1,180.0
3,3422.0,1,241.0
3,9503.0,1,426.0
3,1128.0,2,111.0
2,6814.0,3,286.0
0,8919.0,0,382.0
1,8410.0,1,206.0
1,8054.0,2,318.0
0,711.0,3,215.0
1,5708.0,3,265.0
0,2219.0,0,250.0
0,6605.0,3,180.0
2,5409.0,3,138.0
3,3102.0,1,287.0
0,6183.0,3,228.0
1,6930.0,3,428.0
0,7509.0,3,198.0
2,1339.0,2,216.0
3,6211.0,3,304.0
1,3449.0,1,326.0
0,975.0,0,287.0
1,706.0,3,220.0
3,4050.0,2,289.0
3,8744.0,3,152.0
1,9715.0,2,308.0
1,7531.0,3,229.0
0,2698.0,2,173.0
2,13.0,1,282.0
3,8021.0,2,265.0
1,5427.0,1,348.0
2,8600.0,0,476.0
3,8354.0,1,541.0
3,4583.0,3,361.0
2,6432.0,2,369.0
1,2645.0,3,207.0
0,560.0,3,62.0
3,1184.0,2,236.0
2,7775.0,1,45.0
3,4455.0,3,471.0
2,1403.0,1,445.0
2,1160.0,1,255.0
1,9905.0,1,332.0
0,5468.0,0,305.0
3,8896.0,2,162.0
1,2213.0,3,434.0
0,9744.0,1,428.0
2,5449.0,2,322.0
3,6148.0,0,52.0
1,2474.0,1,487.0
0,5800.0,2,340.0
2,2756.0,2,102.0
0,539.0,0,294.0
2,6385.0,3,307.0
0,1995.0,2,423.0
3,8473.0,2,391.0
0,3328.0,3,161.0
0,1755.0,3,193.0
3,4600.0,2,199.0
0,9119.0,3,354.0
3,6799.0,1,299.0
0,4885.0,3,194.0
2,1462.0,3,465.0
3,7843.0,3,280.0
2,6676.0,3,238.0
1,4185.0,0,373.0
1,6201.0,2,492.0
2,6210.0,1,294.0
1,4573.0,3,445.0
0,7150.0,3,156.0
0,739.0,0,179.0
2,7847.0,0,312.0
2,9770.0,2,384.0
0,4623.0,3,461.0
0,2872.0,2,198.0
